is_slaughter_boat,is_wellboat,mmsi,ship_register_vessel_type,ship_register_vessel_type_name_en,ship_register_vessel_type_name_no,ship_type,vessel_name
false,false,257048310,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,56,BOTANIX
false,false,258180000,3B,BULK CARRIER,BULKSKIP: VANLIG BULK,70,BOTRANS
false,false,230028680,,,,33,BOULDER
false,false,257045940,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BØVÆRING
false,false,257167540,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BOY ANGEL
false,false,257708700,,,,70,BRAFJORD 2
false,false,258324500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BRAGD
false,false,257761600,,,,70,BRAGE
false,false,257054880,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,BRAGE
false,false,258088000,5I4,CATAMARAN PASSENGER,KATAMARAN PASSASJER,40,BRAGE
false,false,258239500,,,,51,BRANNBATEN FLEKKEFJO
false,false,259031640,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,51,BRANNBÅTEN I HAUGESUND
false,false,257059320,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BRATTHOLM
false,false,257711800,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,38,BRATTHOLMEN
false,false,258012500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BRATTHOLMEN
false,false,257874500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,30,BRATTO
false,false,259855000,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BRATTSKJÆR
false,false,257038270,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BRATTSUND
false,false,257006100,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,BREIDSUND
false,false,258020660,5K1,SMALL CAPACITY PASSENGER SHIPS & FERRIES,FARTØY MED BEGRENSET PASSASJERBEFORDRING,40,BREISUND
false,false,257941700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,BREISUND
false,false,257235600,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BREISUND
false,false,257021600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BREITIND
false,false,257653500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BREITIND
false,false,257012430,,,,70,BREITIND
false,false,257300840,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BREITIND
false,false,258797000,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BREIVIK JUNIOR
false,false,257814700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BREMHOLM
false,false,257025130,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,99,BREMSNES
false,false,257026930,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BRENNSUND
false,false,257085820,5I4,CATAMARAN PASSENGER,KATAMARAN PASSASJER,69,BRIM
false,false,257591700,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,99,BRIM
false,false,257119140,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,40,BRIMØY
false,false,257020900,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,53,BRINGEN
false,false,257763600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,BRIS
false,false,257052860,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,53,BRIS
